checkpoint,action,samples,target_group_std_mean,pred_group_std_mean,mean_pose_gap,mean_pose_to_global_pred_gap
ablation_pelvis_base.pth,A01,60,0.09075675159692764,0.004395183175802231,0.13143666088581085,0.0008477012743242085
ablation_pelvis_base.pth,A02,59,0.08643358945846558,0.004979330115020275,0.11539307236671448,0.0005167013150639832
ablation_pelvis_base.pth,A03,60,0.13333860039710999,0.00559802632778883,0.15415212512016296,0.0007457269821316004
ablation_pelvis_base.pth,A04,59,0.1202881783246994,0.0047200871631503105,0.128748819231987,0.0007239683181978762
ablation_pelvis_base.pth,A05,59,0.11581212282180786,0.005350276827812195,0.13141027092933655,0.000462524825707078
ablation_pelvis_base.pth,A06,60,0.07726572453975677,0.004783268086612225,0.09729272127151489,0.0005140663706697524
ablation_pelvis_base.pth,A07,59,0.08182968944311142,0.004940398968756199,0.136924147605896,0.0012963052140548825
ablation_pelvis_base.pth,A08,60,0.08475083112716675,0.005112227518111467,0.13407503068447113,0.001003542449325323
ablation_pelvis_base.pth,A09,36,0.08768786489963531,0.005217473488301039,0.17337457835674286,0.0017334602307528257
ablation_pelvis_interdiv.pth,A01,60,0.09075675159692764,0.01751662790775299,0.16059556603431702,0.0030000703409314156
ablation_pelvis_interdiv.pth,A02,59,0.08643358945846558,0.018334008753299713,0.14207471907138824,0.003187968395650387
ablation_pelvis_interdiv.pth,A03,60,0.13333860039710999,0.022058596834540367,0.18563364446163177,0.0037186280824244022
ablation_pelvis_interdiv.pth,A04,59,0.1202881783246994,0.017587754875421524,0.14873802661895752,0.0036291121505200863
ablation_pelvis_interdiv.pth,A05,59,0.11581212282180786,0.020039288327097893,0.1465473622083664,0.0021978113800287247
ablation_pelvis_interdiv.pth,A06,60,0.07726572453975677,0.018354494124650955,0.12881289422512054,0.002569751814007759
ablation_pelvis_interdiv.pth,A07,59,0.08182968944311142,0.017817623913288116,0.16766834259033203,0.006157843861728907
ablation_pelvis_interdiv.pth,A08,60,0.08475083112716675,0.02011723816394806,0.1606864184141159,0.00255712796933949
ablation_pelvis_interdiv.pth,A09,36,0.08768786489963531,0.02123457007110119,0.18914160132408142,0.006193843670189381
ablation_meanrms_base.pth,A01,60,0.07147738337516785,0.003201215760782361,0.15565741062164307,0.0008032009936869144
ablation_meanrms_base.pth,A02,59,0.0684632733464241,0.0035263169556856155,0.11682388186454773,0.000391247624065727
ablation_meanrms_base.pth,A03,60,0.10967431217432022,0.003917412366718054,0.16506065428256989,0.0005737753817811608
ablation_meanrms_base.pth,A04,59,0.1005355715751648,0.0032214876264333725,0.15394997596740723,0.0006237257621251047
ablation_meanrms_base.pth,A05,59,0.09732687473297119,0.003711508587002754,0.1609414964914322,0.00042799662332981825
ablation_meanrms_base.pth,A06,60,0.06630180776119232,0.003412615042179823,0.1196446567773819,0.00040761026320979
ablation_meanrms_base.pth,A07,59,0.06602348387241364,0.003458269638940692,0.1385016292333603,0.0010610201861709356
ablation_meanrms_base.pth,A08,60,0.0681089237332344,0.0036602579057216644,0.12660761177539825,0.0003987608361057937
ablation_meanrms_base.pth,A09,36,0.07108010351657867,0.003672452177852392,0.17226168513298035,0.0009452605154365301
ablation_meanrms_interdiv.pth,A01,60,0.07147738337516785,0.013736065477132797,0.16384023427963257,0.0018612775020301342
ablation_meanrms_interdiv.pth,A02,59,0.0684632733464241,0.013888515532016754,0.11461853981018066,0.0017448053695261478
ablation_meanrms_interdiv.pth,A03,60,0.10967431217432022,0.015199431218206882,0.16029556095600128,0.0024119820445775986
ablation_meanrms_interdiv.pth,A04,59,0.1005355715751648,0.012931812554597855,0.15893828868865967,0.0024238114710897207
ablation_meanrms_interdiv.pth,A05,59,0.09732687473297119,0.014460854232311249,0.16071148216724396,0.0017481554532423615
ablation_meanrms_interdiv.pth,A06,60,0.06630180776119232,0.013528832234442234,0.13722187280654907,0.0019114504102617502
ablation_meanrms_interdiv.pth,A07,59,0.06602348387241364,0.013691503554582596,0.14795053005218506,0.003243347629904747
ablation_meanrms_interdiv.pth,A08,60,0.0681089237332344,0.014130082912743092,0.13381147384643555,0.0019214319763705134
ablation_meanrms_interdiv.pth,A09,36,0.07108010351657867,0.013560048304498196,0.1710485816001892,0.004148084204643965
