checkpoint,action,samples,target_group_std_mean,pred_group_std_mean,mean_pose_gap,mean_pose_to_global_pred_gap
ablation_meanrms_base.pth,A01,60,0.07147738337516785,0.003201215760782361,0.15565741062164307,0.000747408252209425
ablation_meanrms_base.pth,A02,59,0.0684632733464241,0.0035263169556856155,0.11682388186454773,0.0003666812845040113
ablation_meanrms_base.pth,A03,60,0.10967431217432022,0.003917412366718054,0.16506065428256989,0.0005954922526143491
ablation_meanrms_base.pth,A04,59,0.1005355715751648,0.0032214876264333725,0.15394997596740723,0.000646654050797224
ablation_meanrms_base.pth,A05,59,0.09732687473297119,0.003711508587002754,0.1609414964914322,0.0004355558776296675
ablation_meanrms_base.pth,A06,60,0.06630180776119232,0.003412615042179823,0.1196446567773819,0.00040160503704100847
ablation_meanrms_base.pth,A07,59,0.06602348387241364,0.003458269638940692,0.1385016292333603,0.00108468031976372
ablation_meanrms_base.pth,A08,60,0.0681089237332344,0.0036602579057216644,0.12660761177539825,0.0004349114606156945
ablation_meanrms_base.pth,A09,59,0.08196747303009033,0.003512244438752532,0.17963722348213196,0.0005847203428857028
ablation_meanrms_base.pth,A10,59,0.08722010254859924,0.0031242636032402515,0.19619910418987274,0.000904135056771338
ablation_meanrms_base.pth,A11,60,0.09148386865854263,0.0034254523925483227,0.10196904838085175,0.0002960127021651715
ablation_meanrms_base.pth,A12,59,0.08285361528396606,0.0028338974807411432,0.15936468541622162,0.00046717896475456655
ablation_meanrms_base.pth,A13,60,0.08582811057567596,0.003512581344693899,0.1366043984889984,0.00031541992211714387
ablation_meanrms_base.pth,A14,59,0.08808690309524536,0.003453784855082631,0.13100941479206085,0.0009348852909170091
ablation_meanrms_base.pth,A15,59,0.14030101895332336,0.0036923731677234173,0.11840023845434189,0.0014557735994458199
ablation_meanrms_base.pth,A16,60,0.14272776246070862,0.0036441036500036716,0.11088050901889801,0.0003463187313172966
ablation_meanrms_base.pth,A17,59,0.0730896070599556,0.0031680127140134573,0.2114097774028778,0.002000093227252364
ablation_meanrms_base.pth,A18,60,0.0750696063041687,0.0032936842180788517,0.19664478302001953,0.0006192564032971859
ablation_meanrms_base.pth,A19,59,0.2127092480659485,0.0035017237532883883,0.15415416657924652,0.00047193170757964253
ablation_meanrms_base.pth,A20,59,0.13864557445049286,0.0035571595653891563,0.1338973343372345,0.0005406449199654162
ablation_meanrms_base.pth,A21,60,0.15262825787067413,0.0033324931282550097,0.14431434869766235,0.00016598161892034113
ablation_meanrms_base.pth,A22,59,0.11412924528121948,0.0036844750866293907,0.15377001464366913,0.0006802929565310478
ablation_meanrms_base.pth,A23,60,0.12253012508153915,0.0037185291294008493,0.1545775979757309,0.0003296198265161365
ablation_meanrms_base.pth,A24,59,0.12992075085639954,0.00333356112241745,0.1689041405916214,0.0005661316681653261
ablation_meanrms_base.pth,A25,59,0.12672159075737,0.0036599505692720413,0.1804778128862381,0.00074990518623963
ablation_meanrms_base.pth,A26,60,0.14301027357578278,0.0034774774685502052,0.1851131021976471,0.0006308244774118066
ablation_meanrms_base.pth,A27,55,0.11149309575557709,0.003108923090621829,0.11963828653097153,0.0003394232480786741
ablation_meanrms_interdiv.pth,A01,60,0.07147738337516785,0.013736065477132797,0.16384023427963257,0.001628059078939259
ablation_meanrms_interdiv.pth,A02,59,0.0684632733464241,0.013888515532016754,0.11461853981018066,0.0017504652496427298
ablation_meanrms_interdiv.pth,A03,60,0.10967431217432022,0.015199431218206882,0.16029556095600128,0.002379621844738722
ablation_meanrms_interdiv.pth,A04,59,0.1005355715751648,0.012931812554597855,0.15893828868865967,0.0026659707073122263
ablation_meanrms_interdiv.pth,A05,59,0.09732687473297119,0.014460854232311249,0.16071148216724396,0.0016019644681364298
ablation_meanrms_interdiv.pth,A06,60,0.06630180776119232,0.013528832234442234,0.13722187280654907,0.0019248616881668568
ablation_meanrms_interdiv.pth,A07,59,0.06602348387241364,0.013691503554582596,0.14795053005218506,0.003243854735046625
ablation_meanrms_interdiv.pth,A08,60,0.0681089237332344,0.014130082912743092,0.13381147384643555,0.0021256981417536736
ablation_meanrms_interdiv.pth,A09,59,0.08196747303009033,0.01345209963619709,0.1793961524963379,0.002597206737846136
ablation_meanrms_interdiv.pth,A10,59,0.08722010254859924,0.01269654929637909,0.19051945209503174,0.0035246906336396933
ablation_meanrms_interdiv.pth,A11,60,0.09148386865854263,0.013494318351149559,0.10432713478803635,0.001875201123766601
ablation_meanrms_interdiv.pth,A12,59,0.08285361528396606,0.011607588268816471,0.1544589400291443,0.002040502382442355
ablation_meanrms_interdiv.pth,A13,60,0.08582811057567596,0.013860122300684452,0.14771322906017303,0.0010388161754235625
ablation_meanrms_interdiv.pth,A14,59,0.08808690309524536,0.014457355253398418,0.14229349792003632,0.0026823580265045166
ablation_meanrms_interdiv.pth,A15,59,0.14030101895332336,0.015451936051249504,0.11290069669485092,0.005147462245076895
ablation_meanrms_interdiv.pth,A16,60,0.14272776246070862,0.014005040749907494,0.11007920652627945,0.0015274902107194066
ablation_meanrms_interdiv.pth,A17,59,0.0730896070599556,0.011721036396920681,0.21059727668762207,0.005648819729685783
ablation_meanrms_interdiv.pth,A18,60,0.0750696063041687,0.013296551071107388,0.19906355440616608,0.0034025581553578377
ablation_meanrms_interdiv.pth,A19,59,0.2127092480659485,0.014132405631244183,0.16240353882312775,0.002088580746203661
ablation_meanrms_interdiv.pth,A20,59,0.13864557445049286,0.014192012138664722,0.142684668302536,0.002398290205746889
ablation_meanrms_interdiv.pth,A21,60,0.15262825787067413,0.01329251378774643,0.1486712098121643,0.0009754408383741975
ablation_meanrms_interdiv.pth,A22,59,0.11412924528121948,0.014265182428061962,0.16820918023586273,0.001997464569285512
ablation_meanrms_interdiv.pth,A23,60,0.12253012508153915,0.014900540933012962,0.17052410542964935,0.0016323819290846586
ablation_meanrms_interdiv.pth,A24,59,0.12992075085639954,0.014521114528179169,0.17204391956329346,0.002826991258189082
ablation_meanrms_interdiv.pth,A25,59,0.12672159075737,0.014125542715191841,0.1876250058412552,0.0024646390229463577
ablation_meanrms_interdiv.pth,A26,60,0.14301027357578278,0.014659752137959003,0.1762380301952362,0.0015846072928979993
ablation_meanrms_interdiv.pth,A27,55,0.11149309575557709,0.012447594664990902,0.12900018692016602,0.001603991026058793
ablation_meanrms_interdiv_divsel.pth,A01,60,0.07147738337516785,0.08128957450389862,0.14722616970539093,0.013504658825695515
ablation_meanrms_interdiv_divsel.pth,A02,59,0.0684632733464241,0.08278784900903702,0.11455511301755905,0.009248155169188976
ablation_meanrms_interdiv_divsel.pth,A03,60,0.10967431217432022,0.09697197377681732,0.15594196319580078,0.007757052779197693
ablation_meanrms_interdiv_divsel.pth,A04,59,0.1005355715751648,0.08825181424617767,0.14833861589431763,0.02202383615076542
ablation_meanrms_interdiv_divsel.pth,A05,59,0.09732687473297119,0.09073015302419662,0.15199200809001923,0.01588187739253044
ablation_meanrms_interdiv_divsel.pth,A06,60,0.06630180776119232,0.09129506349563599,0.11803913116455078,0.01286996714770794
ablation_meanrms_interdiv_divsel.pth,A07,59,0.06602348387241364,0.08448151499032974,0.13263367116451263,0.02654990367591381
ablation_meanrms_interdiv_divsel.pth,A08,60,0.0681089237332344,0.09196353703737259,0.12325647473335266,0.025262925773859024
ablation_meanrms_interdiv_divsel.pth,A09,59,0.08196747303009033,0.08868265151977539,0.16966019570827484,0.01944747194647789
ablation_meanrms_interdiv_divsel.pth,A10,59,0.08722010254859924,0.08638858050107956,0.18417392671108246,0.035545021295547485
ablation_meanrms_interdiv_divsel.pth,A11,60,0.09148386865854263,0.08468201756477356,0.0881284549832344,0.016809215769171715
ablation_meanrms_interdiv_divsel.pth,A12,59,0.08285361528396606,0.07848094403743744,0.15166257321834564,0.0061877695843577385
ablation_meanrms_interdiv_divsel.pth,A13,60,0.08582811057567596,0.09118477255105972,0.13015203177928925,0.00862906128168106
ablation_meanrms_interdiv_divsel.pth,A14,59,0.08808690309524536,0.08385948836803436,0.1264842450618744,0.02013373374938965
ablation_meanrms_interdiv_divsel.pth,A15,59,0.14030101895332336,0.08207035064697266,0.11431031674146652,0.04674004763364792
ablation_meanrms_interdiv_divsel.pth,A16,60,0.14272776246070862,0.09304092824459076,0.10943180322647095,0.0018356343498453498
ablation_meanrms_interdiv_divsel.pth,A17,59,0.0730896070599556,0.08541455119848251,0.24549613893032074,0.05480925366282463
ablation_meanrms_interdiv_divsel.pth,A18,60,0.0750696063041687,0.08267010748386383,0.21494728326797485,0.031074007973074913
ablation_meanrms_interdiv_divsel.pth,A19,59,0.2127092480659485,0.09053609520196915,0.15684306621551514,0.0037769912742078304
ablation_meanrms_interdiv_divsel.pth,A20,59,0.13864557445049286,0.0884387269616127,0.1309354454278946,0.021523596718907356
ablation_meanrms_interdiv_divsel.pth,A21,60,0.15262825787067413,0.08921211957931519,0.1379314810037613,0.0007484498200938106
ablation_meanrms_interdiv_divsel.pth,A22,59,0.11412924528121948,0.08676664531230927,0.15103092789649963,0.021299200132489204
ablation_meanrms_interdiv_divsel.pth,A23,60,0.12253012508153915,0.08798523247241974,0.15623749792575836,0.0008586106123402715
ablation_meanrms_interdiv_divsel.pth,A24,59,0.12992075085639954,0.08619432151317596,0.16270874440670013,0.000733516295440495
ablation_meanrms_interdiv_divsel.pth,A25,59,0.12672159075737,0.09011459350585938,0.18330197036266327,0.014527679421007633
