checkpoint,action,samples,target_group_std_mean,pred_group_std_mean,mean_pose_gap,mean_pose_to_global_pred_gap
ablation_pelvis_base.pth,A01,60,0.09075675159692764,0.004395183175802231,0.13143666088581085,0.0008477012743242085
ablation_pelvis_base.pth,A02,59,0.08643358945846558,0.004979330115020275,0.11539307236671448,0.0005167013150639832
ablation_pelvis_base.pth,A03,60,0.13333860039710999,0.00559802632778883,0.15415212512016296,0.0007457269821316004
ablation_pelvis_base.pth,A04,59,0.1202881783246994,0.0047200871631503105,0.128748819231987,0.0007239683181978762
ablation_pelvis_base.pth,A05,59,0.11581212282180786,0.005350276827812195,0.13141027092933655,0.000462524825707078
ablation_pelvis_base.pth,A06,60,0.07726572453975677,0.004783268086612225,0.09729272127151489,0.0005140663706697524
ablation_pelvis_base.pth,A07,59,0.08182968944311142,0.004940398968756199,0.136924147605896,0.0012963052140548825
ablation_pelvis_base.pth,A08,60,0.08475083112716675,0.005112227518111467,0.13407503068447113,0.001003542449325323
ablation_pelvis_base.pth,A09,36,0.08768786489963531,0.005217473488301039,0.17337457835674286,0.0017334602307528257
ablation_meanrms_base.pth,A01,60,0.07147738337516785,0.003201215760782361,0.15565741062164307,0.0008032009936869144
ablation_meanrms_base.pth,A02,59,0.0684632733464241,0.0035263169556856155,0.11682388186454773,0.000391247624065727
ablation_meanrms_base.pth,A03,60,0.10967431217432022,0.003917412366718054,0.16506065428256989,0.0005737753817811608
ablation_meanrms_base.pth,A04,59,0.1005355715751648,0.0032214876264333725,0.15394997596740723,0.0006237257621251047
ablation_meanrms_base.pth,A05,59,0.09732687473297119,0.003711508587002754,0.1609414964914322,0.00042799662332981825
ablation_meanrms_base.pth,A06,60,0.06630180776119232,0.003412615042179823,0.1196446567773819,0.00040761026320979
ablation_meanrms_base.pth,A07,59,0.06602348387241364,0.003458269638940692,0.1385016292333603,0.0010610201861709356
ablation_meanrms_base.pth,A08,60,0.0681089237332344,0.0036602579057216644,0.12660761177539825,0.0003987608361057937
ablation_meanrms_base.pth,A09,36,0.07108010351657867,0.003672452177852392,0.17226168513298035,0.0009452605154365301
