checkpoint,action,samples,target_group_std_mean,pred_group_std_mean,mean_pose_gap,mean_pose_to_global_pred_gap
resnet1d_interdiv_env3val_env4test.pth,A01,48,0.08485203236341476,0.017173169180750847,0.15768741071224213,0.0015502751339226961
resnet1d_interdiv_env3val_env4test.pth,A02,48,0.08605370670557022,0.0187115129083395,0.15114454925060272,0.0011861055390909314
resnet1d_interdiv_env3val_env4test.pth,A03,47,0.13672134280204773,0.018811851739883423,0.17397764325141907,0.001686758128926158
resnet1d_interdiv_env3val_env4test.pth,A04,48,0.11086459457874298,0.016307156533002853,0.16040553152561188,0.0035331519320607185
resnet1d_interdiv_env3val_env4test.pth,A05,47,0.12161388248205185,0.019085435196757317,0.16075752675533295,0.002655522897839546
resnet1d_interdiv_env3val_env4test.pth,A06,18,0.07028178125619888,0.018797051161527634,0.1333271861076355,0.0030013108626008034
resnet1d_interdiv_divselect_env3val_env4test.pth,A01,48,0.08485203236341476,0.13364507257938385,0.13233183324337006,0.016809405758976936
resnet1d_interdiv_divselect_env3val_env4test.pth,A02,48,0.08605370670557022,0.14066080749034882,0.12054687738418579,0.00851909164339304
resnet1d_interdiv_divselect_env3val_env4test.pth,A03,47,0.13672134280204773,0.13997049629688263,0.14410841464996338,0.012787455692887306
resnet1d_interdiv_divselect_env3val_env4test.pth,A04,48,0.11086459457874298,0.13227835297584534,0.15373079478740692,0.010553385131061077
resnet1d_interdiv_divselect_env3val_env4test.pth,A05,47,0.12161388248205185,0.14049558341503143,0.14921657741069794,0.03374067321419716
resnet1d_interdiv_divselect_env3val_env4test.pth,A06,18,0.07028178125619888,0.1400357335805893,0.11123304069042206,0.026347363367676735
