[run] config=configs/default.yaml device=cuda:0
[run] model=resnet1d
[run] window_size=1
[run] normalize_mode=mean_rms
[run] aoa_cache_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\aoa_cache
[run] labels_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\dataset
[run] val_env=env3 test_env=env4
[run] logs_file=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\logs\train\ablation_meanrms_interdiv_divsel_actionaux005_resnet1d_20260327-170111.log
[run] selection_mode=diversity_first lambda_var=0.000 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[data] dataset_size=320760 train_size=160380 val_size=80190 test_size=80190 batch_size=64 window_size=1
[run] action_aux enabled=True lambda_cls=0.050 num_actions=27
[epoch_start] epoch=1/8 train_size=160380 val_size=80190 test_size=80190 lr=3.000e-04 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=1/8 step=1/100 loss=2.339552 grad_norm=5.731 action_cls=3.289269 action_acc=0.031
[train] epoch=1/8 step=2/100 loss=2.058882 grad_norm=5.113 action_cls=3.331470 action_acc=0.062
[train] epoch=1/8 step=3/100 loss=1.807661 grad_norm=5.006 action_cls=3.295429 action_acc=0.031
[train] epoch=1/8 step=4/100 loss=1.629879 grad_norm=4.134 action_cls=3.323275 action_acc=0.031
[train] epoch=1/8 step=5/100 loss=1.441880 grad_norm=3.878 action_cls=3.292815 action_acc=0.062
[train] epoch=1/8 step=6/100 loss=1.265817 grad_norm=3.472 action_cls=3.310468 action_acc=0.047
[train] epoch=1/8 step=7/100 loss=1.187697 grad_norm=3.211 action_cls=3.316986 action_acc=0.078
[train] epoch=1/8 step=8/100 loss=1.055441 grad_norm=3.048 action_cls=3.316301 action_acc=0.016
[train] epoch=1/8 step=9/100 loss=1.005078 grad_norm=2.734 action_cls=3.306289 action_acc=0.062
[train] epoch=1/8 step=10/100 loss=0.918179 grad_norm=2.556 action_cls=3.343365 action_acc=0.047
[train] epoch=1/8 step=11/100 loss=0.859297 grad_norm=2.353 action_cls=3.341339 action_acc=0.016
[train] epoch=1/8 step=12/100 loss=0.850128 grad_norm=2.426 action_cls=3.355405 action_acc=0.031
[train] epoch=1/8 step=13/100 loss=0.849047 grad_norm=2.264 action_cls=3.342700 action_acc=0.031
[train] epoch=1/8 step=14/100 loss=0.786259 grad_norm=2.187 action_cls=3.311853 action_acc=0.016
[train] epoch=1/8 step=15/100 loss=0.728230 grad_norm=2.021 action_cls=3.288808 action_acc=0.109
[train] epoch=1/8 step=16/100 loss=0.728048 grad_norm=1.812 action_cls=3.334871 action_acc=0.000
[train] epoch=1/8 step=17/100 loss=0.729673 grad_norm=1.614 action_cls=3.313943 action_acc=0.016
[train] epoch=1/8 step=18/100 loss=0.692339 grad_norm=1.491 action_cls=3.318153 action_acc=0.047
[train] epoch=1/8 step=19/100 loss=0.669404 grad_norm=1.366 action_cls=3.319456 action_acc=0.016
[train] epoch=1/8 step=20/100 loss=0.657298 grad_norm=1.301 action_cls=3.295856 action_acc=0.078
[train] epoch=1/8 step=21/100 loss=0.639133 grad_norm=1.164 action_cls=3.310883 action_acc=0.016
[train] epoch=1/8 step=22/100 loss=0.641269 grad_norm=1.216 action_cls=3.298588 action_acc=0.062
[train] epoch=1/8 step=23/100 loss=0.618411 grad_norm=1.473 action_cls=3.297325 action_acc=0.047
[train] epoch=1/8 step=24/100 loss=0.635069 grad_norm=1.244 action_cls=3.292064 action_acc=0.062
[train] epoch=1/8 step=25/100 loss=0.616425 grad_norm=1.117 action_cls=3.304846 action_acc=0.047
[train] epoch=1/8 step=26/100 loss=0.631059 grad_norm=1.044 action_cls=3.270877 action_acc=0.062
[train] epoch=1/8 step=27/100 loss=0.623602 grad_norm=0.887 action_cls=3.304260 action_acc=0.062
[train] epoch=1/8 step=28/100 loss=0.606448 grad_norm=0.909 action_cls=3.279787 action_acc=0.078
[train] epoch=1/8 step=29/100 loss=0.619564 grad_norm=0.891 action_cls=3.302348 action_acc=0.016
[train] epoch=1/8 step=30/100 loss=0.559341 grad_norm=0.783 action_cls=3.278107 action_acc=0.078
[train] epoch=1/8 step=31/100 loss=0.597963 grad_norm=0.696 action_cls=3.282227 action_acc=0.047
[train] epoch=1/8 step=32/100 loss=0.597557 grad_norm=0.774 action_cls=3.297088 action_acc=0.031
[train] epoch=1/8 step=33/100 loss=0.575631 grad_norm=0.689 action_cls=3.301792 action_acc=0.016
[train] epoch=1/8 step=34/100 loss=0.556521 grad_norm=0.845 action_cls=3.318930 action_acc=0.031
[train] epoch=1/8 step=35/100 loss=0.572096 grad_norm=0.761 action_cls=3.294318 action_acc=0.000
[train] epoch=1/8 step=36/100 loss=0.596757 grad_norm=0.856 action_cls=3.286131 action_acc=0.047
[train] epoch=1/8 step=37/100 loss=0.588112 grad_norm=0.611 action_cls=3.302967 action_acc=0.047
[train] epoch=1/8 step=38/100 loss=0.580469 grad_norm=0.674 action_cls=3.296740 action_acc=0.031
[train] epoch=1/8 step=39/100 loss=0.570949 grad_norm=0.638 action_cls=3.283160 action_acc=0.109
[train] epoch=1/8 step=40/100 loss=0.549092 grad_norm=0.614 action_cls=3.288352 action_acc=0.016
[train] epoch=1/8 step=41/100 loss=0.588531 grad_norm=0.497 action_cls=3.307499 action_acc=0.031
[train] epoch=1/8 step=42/100 loss=0.560248 grad_norm=0.611 action_cls=3.317354 action_acc=0.031
[train] epoch=1/8 step=43/100 loss=0.520661 grad_norm=0.594 action_cls=3.287133 action_acc=0.000
[train] epoch=1/8 step=44/100 loss=0.562193 grad_norm=0.609 action_cls=3.282979 action_acc=0.062
[train] epoch=1/8 step=45/100 loss=0.556682 grad_norm=0.623 action_cls=3.294268 action_acc=0.047
[train] epoch=1/8 step=46/100 loss=0.543618 grad_norm=0.476 action_cls=3.308769 action_acc=0.000
[train] epoch=1/8 step=47/100 loss=0.544168 grad_norm=0.484 action_cls=3.287871 action_acc=0.078
[train] epoch=1/8 step=48/100 loss=0.624213 grad_norm=0.505 action_cls=3.317146 action_acc=0.047
[train] epoch=1/8 step=49/100 loss=0.542170 grad_norm=0.523 action_cls=3.293206 action_acc=0.016
[train] epoch=1/8 step=50/100 loss=0.580131 grad_norm=0.536 action_cls=3.271512 action_acc=0.031
[train] epoch=1/8 step=51/100 loss=0.558698 grad_norm=0.679 action_cls=3.326140 action_acc=0.016
[train] epoch=1/8 step=52/100 loss=0.536753 grad_norm=0.473 action_cls=3.291398 action_acc=0.031
[train] epoch=1/8 step=53/100 loss=0.613617 grad_norm=0.461 action_cls=3.303683 action_acc=0.047
[train] epoch=1/8 step=54/100 loss=0.563004 grad_norm=0.397 action_cls=3.275246 action_acc=0.031
[train] epoch=1/8 step=55/100 loss=0.579533 grad_norm=0.465 action_cls=3.305030 action_acc=0.047
[train] epoch=1/8 step=56/100 loss=0.524368 grad_norm=0.510 action_cls=3.298471 action_acc=0.016
[train] epoch=1/8 step=57/100 loss=0.517311 grad_norm=0.519 action_cls=3.308469 action_acc=0.047
[train] epoch=1/8 step=58/100 loss=0.575905 grad_norm=0.513 action_cls=3.288685 action_acc=0.031
[train] epoch=1/8 step=59/100 loss=0.567979 grad_norm=0.513 action_cls=3.332335 action_acc=0.031
[train] epoch=1/8 step=60/100 loss=0.536737 grad_norm=0.522 action_cls=3.304549 action_acc=0.000
[train] epoch=1/8 step=61/100 loss=0.539821 grad_norm=0.439 action_cls=3.289297 action_acc=0.047
[train] epoch=1/8 step=62/100 loss=0.576284 grad_norm=0.497 action_cls=3.299425 action_acc=0.031
[train] epoch=1/8 step=63/100 loss=0.578519 grad_norm=0.542 action_cls=3.329542 action_acc=0.000
[train] epoch=1/8 step=64/100 loss=0.559358 grad_norm=0.400 action_cls=3.312234 action_acc=0.016
[train] epoch=1/8 step=65/100 loss=0.544243 grad_norm=0.574 action_cls=3.292375 action_acc=0.031
[train] epoch=1/8 step=66/100 loss=0.590988 grad_norm=0.528 action_cls=3.301521 action_acc=0.031
[train] epoch=1/8 step=67/100 loss=0.540113 grad_norm=0.596 action_cls=3.293259 action_acc=0.078
[train] epoch=1/8 step=68/100 loss=0.516413 grad_norm=0.868 action_cls=3.295103 action_acc=0.031
[train] epoch=1/8 step=69/100 loss=0.547966 grad_norm=0.453 action_cls=3.288288 action_acc=0.031
[train] epoch=1/8 step=70/100 loss=0.562211 grad_norm=0.561 action_cls=3.305523 action_acc=0.016
[train] epoch=1/8 step=71/100 loss=0.539522 grad_norm=0.582 action_cls=3.301014 action_acc=0.047
[train] epoch=1/8 step=72/100 loss=0.543060 grad_norm=0.507 action_cls=3.301029 action_acc=0.062
[train] epoch=1/8 step=73/100 loss=0.532644 grad_norm=0.433 action_cls=3.286267 action_acc=0.078
[train] epoch=1/8 step=74/100 loss=0.549608 grad_norm=0.454 action_cls=3.287850 action_acc=0.047
[train] epoch=1/8 step=75/100 loss=0.591892 grad_norm=0.336 action_cls=3.276350 action_acc=0.047
[train] epoch=1/8 step=76/100 loss=0.553702 grad_norm=0.442 action_cls=3.301854 action_acc=0.031
[train] epoch=1/8 step=77/100 loss=0.600537 grad_norm=0.441 action_cls=3.308372 action_acc=0.016
[train] epoch=1/8 step=78/100 loss=0.523118 grad_norm=0.583 action_cls=3.310212 action_acc=0.047
[train] epoch=1/8 step=79/100 loss=0.537930 grad_norm=0.494 action_cls=3.312162 action_acc=0.031
[train] epoch=1/8 step=80/100 loss=0.551242 grad_norm=0.434 action_cls=3.302000 action_acc=0.047
[train] epoch=1/8 step=81/100 loss=0.604919 grad_norm=0.336 action_cls=3.297223 action_acc=0.047
[train] epoch=1/8 step=82/100 loss=0.543668 grad_norm=0.434 action_cls=3.303052 action_acc=0.000
[train] epoch=1/8 step=83/100 loss=0.556292 grad_norm=0.325 action_cls=3.294953 action_acc=0.062
[train] epoch=1/8 step=84/100 loss=0.513478 grad_norm=0.605 action_cls=3.279871 action_acc=0.125
[train] epoch=1/8 step=85/100 loss=0.524823 grad_norm=0.490 action_cls=3.298449 action_acc=0.016
[train] epoch=1/8 step=86/100 loss=0.565758 grad_norm=0.497 action_cls=3.296652 action_acc=0.047
[train] epoch=1/8 step=87/100 loss=0.526294 grad_norm=0.392 action_cls=3.291645 action_acc=0.016
[train] epoch=1/8 step=88/100 loss=0.517623 grad_norm=0.398 action_cls=3.285229 action_acc=0.062
[train] epoch=1/8 step=89/100 loss=0.536334 grad_norm=0.412 action_cls=3.310502 action_acc=0.016
[train] epoch=1/8 step=90/100 loss=0.538852 grad_norm=0.481 action_cls=3.317484 action_acc=0.047
[train] epoch=1/8 step=91/100 loss=0.544075 grad_norm=0.456 action_cls=3.300737 action_acc=0.016
[train] epoch=1/8 step=92/100 loss=0.545846 grad_norm=0.399 action_cls=3.299977 action_acc=0.016
[train] epoch=1/8 step=93/100 loss=0.538969 grad_norm=0.424 action_cls=3.299804 action_acc=0.000
[train] epoch=1/8 step=94/100 loss=0.548059 grad_norm=0.386 action_cls=3.299329 action_acc=0.031
[train] epoch=1/8 step=95/100 loss=0.535854 grad_norm=0.443 action_cls=3.287715 action_acc=0.031
[train] epoch=1/8 step=96/100 loss=0.579021 grad_norm=0.346 action_cls=3.289932 action_acc=0.047
[train] epoch=1/8 step=97/100 loss=0.508749 grad_norm=0.569 action_cls=3.308110 action_acc=0.000
[train] epoch=1/8 step=98/100 loss=0.519351 grad_norm=0.377 action_cls=3.284878 action_acc=0.062
[train] epoch=1/8 step=99/100 loss=0.539187 grad_norm=0.448 action_cls=3.300709 action_acc=0.031
[train] epoch=1/8 step=100/100 loss=0.533922 grad_norm=0.420 action_cls=3.313742 action_acc=0.016
