[run] config=configs/default.yaml device=cuda:0
[run] model=resnet1d
[run] window_size=1
[run] normalize_mode=mean_rms
[run] aoa_cache_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\aoa_cache
[run] labels_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\dataset
[run] val_env=env3 test_env=env4
[run] logs_file=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\logs\train\ablation_meanrms_interdiv_divsel_actionaux_resnet1d_20260327-164217.log
[run] selection_mode=diversity_first lambda_var=0.000 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[data] dataset_size=320760 train_size=160380 val_size=80190 test_size=80190 batch_size=64 window_size=1
[run] action_aux enabled=True lambda_cls=0.200 num_actions=27
[epoch_start] epoch=1/8 train_size=160380 val_size=80190 test_size=80190 lr=3.000e-04 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=1/8 step=1/100 loss=2.832942 grad_norm=5.733 action_cls=3.289273 action_acc=0.031
[train] epoch=1/8 step=2/100 loss=2.558550 grad_norm=5.108 action_cls=3.330650 action_acc=0.062
[train] epoch=1/8 step=3/100 loss=2.304646 grad_norm=5.023 action_cls=3.298203 action_acc=0.031
[train] epoch=1/8 step=4/100 loss=2.126746 grad_norm=4.090 action_cls=3.322461 action_acc=0.031
[train] epoch=1/8 step=5/100 loss=1.930112 grad_norm=3.996 action_cls=3.291899 action_acc=0.062
[train] epoch=1/8 step=6/100 loss=1.760921 grad_norm=3.428 action_cls=3.310117 action_acc=0.062
[train] epoch=1/8 step=7/100 loss=1.688279 grad_norm=3.577 action_cls=3.312286 action_acc=0.062
[train] epoch=1/8 step=8/100 loss=1.558844 grad_norm=3.088 action_cls=3.314005 action_acc=0.016
[train] epoch=1/8 step=9/100 loss=1.503350 grad_norm=2.790 action_cls=3.305876 action_acc=0.031
[train] epoch=1/8 step=10/100 loss=1.419894 grad_norm=2.553 action_cls=3.340836 action_acc=0.047
[train] epoch=1/8 step=11/100 loss=1.358891 grad_norm=2.364 action_cls=3.339634 action_acc=0.016
[train] epoch=1/8 step=12/100 loss=1.351324 grad_norm=2.402 action_cls=3.354002 action_acc=0.047
[train] epoch=1/8 step=13/100 loss=1.348549 grad_norm=2.257 action_cls=3.339767 action_acc=0.031
[train] epoch=1/8 step=14/100 loss=1.279959 grad_norm=2.195 action_cls=3.308421 action_acc=0.016
[train] epoch=1/8 step=15/100 loss=1.219673 grad_norm=2.041 action_cls=3.284857 action_acc=0.094
[train] epoch=1/8 step=16/100 loss=1.229812 grad_norm=1.843 action_cls=3.333477 action_acc=0.000
[train] epoch=1/8 step=17/100 loss=1.226866 grad_norm=1.686 action_cls=3.314022 action_acc=0.000
[train] epoch=1/8 step=18/100 loss=1.192271 grad_norm=1.567 action_cls=3.321564 action_acc=0.031
[train] epoch=1/8 step=19/100 loss=1.165662 grad_norm=1.353 action_cls=3.313972 action_acc=0.016
[train] epoch=1/8 step=20/100 loss=1.152789 grad_norm=1.305 action_cls=3.292547 action_acc=0.078
[train] epoch=1/8 step=21/100 loss=1.135053 grad_norm=1.182 action_cls=3.307520 action_acc=0.016
[train] epoch=1/8 step=22/100 loss=1.136006 grad_norm=1.235 action_cls=3.299643 action_acc=0.062
[train] epoch=1/8 step=23/100 loss=1.109297 grad_norm=1.483 action_cls=3.293142 action_acc=0.031
[train] epoch=1/8 step=24/100 loss=1.128929 grad_norm=1.313 action_cls=3.293178 action_acc=0.062
